text,label
I'm feeling really sad and lonely today.,1
"Today was a great day, feeling happy!",0
"I can't stop crying, everything is terrible.",0
Feeling optimistic about the future.,1
I'm feeling overwhelmed and stressed.,1
I just want to be left alone.,1
Feeling grateful for the little things in life.,0
I feel like a failure and can't do anything right.,0
Random sentence.,0
Random sentence.,0
Random sentence.,0
Random sentence.,1
Random sentence.,0
Random sentence.,0
Random sentence.,1
Random sentence.,0
Random sentence.,0
Random sentence.,0
Random sentence.,0
Random sentence.,1
Random sentence.,1
Random sentence.,0
Random sentence.,1
Random sentence.,1
Random sentence.,1
Random sentence.,0
Random sentence.,0
Random sentence.,0
Random sentence.,1
Random sentence.,0
Random sentence.,0
Random sentence.,0
Random sentence.,1
Random sentence.,1
Random sentence.,0
Random sentence.,0
Random sentence.,1
Random sentence.,1
Random sentence.,0
Random sentence.,0
Random sentence.,0
Random sentence.,0
Random sentence.,0
Random sentence.,1
Random sentence.,0
Random sentence.,1
Random sentence.,1
Random sentence.,0
Random sentence.,1
Random sentence.,0
Random sentence.,1
Random sentence.,0
Random sentence.,0
Random sentence.,1
Random sentence.,0
Random sentence.,0
Random sentence.,0
Random sentence.,0
Random sentence.,1
Random sentence.,1
Random sentence.,0
Random sentence.,1
Random sentence.,0
Random sentence.,0
Random sentence.,1
Random sentence.,1
Random sentence.,1
Random sentence.,0
Random sentence.,1
Random sentence.,0
Random sentence.,1
Random sentence.,1
Random sentence.,0
Random sentence.,1
Random sentence.,1
Random sentence.,0
Random sentence.,0
Random sentence.,0
Random sentence.,0
Random sentence.,0
Random sentence.,1
Random sentence.,1
Random sentence.,0
Random sentence.,0
Random sentence.,1
Random sentence.,0
Random sentence.,0
Random sentence.,0
Random sentence.,1
Random sentence.,0
Random sentence.,1
Random sentence.,0
Random sentence.,1
Random sentence.,0
Random sentence.,1
Random sentence.,0
Random sentence.,1
Random sentence.,0
Random sentence.,1
Random sentence.,1
Random sentence.,1
Random sentence.,1
Random sentence.,1
Random sentence.,1
Random sentence.,0
Random sentence.,0
Random sentence.,1
Random sentence.,1
Random sentence.,1
Random sentence.,1
Random sentence.,0
Random sentence.,0
Random sentence.,1
Random sentence.,1
